,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
3,88,OAK,Eddie Vanderdoes,DT,22,2019,0,0,1,5,5,19,0,0,0,0,0,0,0,0,0,0,0,18,,,UCLA,College Stats
3,89,HOU,D'Onta Foreman,RB,21,2020,0,0,0,3,2,17,0,0,0,0,0,107,421,2,9,116,2,,,,Texas,College Stats
3,90,SEA,Shaquill Griffin,DB,22,2020,0,1,4,22,22,57,0,0,0,0,0,0,0,0,0,0,0,203,6,1,Central Florida,College Stats
3,91,LAR,John Johnson,S,21,2020,0,0,3,17,17,54,0,0,0,0,0,0,0,0,0,0,0,235,8,,Boston Col.,College Stats
3,92,DAL,Jourdan Lewis,CB,22,2020,0,0,1,12,12,61,0,0,0,0,0,2,12,0,0,0,0,136,4,6,Michigan,College Stats
3,93,GNB,Montravius Adams,DT,22,2020,0,0,0,5,5,45,0,0,0,0,0,0,0,0,0,0,0,22,,1.5,Auburn,College Stats
3,94,PIT,Cameron Sutton,CB,22,2020,0,0,0,5,5,52,0,0,0,0,0,0,0,0,0,0,0,64,3,2,Tennessee,College Stats
3,95,SEA,Lano Hill,S,21,2020,0,0,0,4,4,42,0,0,0,0,0,0,0,0,0,0,0,41,,,Michigan,College Stats
3,96,DET,Kenny Golladay,WR,23,2020,0,1,3,23,23,47,0,0,0,0,0,2,17,0,183,3068,21,,,,Northern Illinois,College Stats
3,97,MIA,Cordrea Tankersley,CB,23,2020,0,0,1,4,4,19,0,0,0,0,0,0,0,0,0,0,0,28,,,Clemson,College Stats
3,98,ARI,Chad Williams,WR,22,2019,0,0,1,1,1,17,0,0,0,0,0,3,42,0,20,202,1,,,,Grambling St.,
3,99,PHI,Rasul Douglas,CB,23,2020,0,0,1,12,8,60,0,0,0,0,0,0,0,0,0,0,0,145,5,,West Virginia,College Stats
3,100,TEN,Jonnu Smith,TE,22,2020,0,0,4,11,11,60,0,0,0,0,0,6,82,1,114,1302,16,,,,Florida International,College Stats
3,101,DEN,Brendan Langley,CB,22,2018,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,6,,,Lamar,
3,102,SEA,Nazair Jones,DT,22,2018,0,0,0,3,3,20,0,0,0,0,0,0,0,0,0,0,0,12,1,2,North Carolina,College Stats
3,103,NOR,Trey Hendrickson,OLB,22,2020,0,0,1,13,13,45,0,0,0,0,0,0,0,0,0,0,0,47,,20,Florida Atlantic,College Stats
3,104,SFO,C.J. Beathard,QB,23,2020,0,0,0,8,8,19,291,497,3469,18,13,51,233,4,0,0,0,,,,Iowa,College Stats
3,105,PIT,James Conner,RB,22,2020,0,1,3,19,19,50,0,0,0,0,0,532,2302,22,124,963,4,,,,Pittsburgh,College Stats
3,106,SEA,Amara Darboh,WR,23,2017,0,0,0,1,1,16,0,0,0,0,0,0,0,0,8,71,0,2,,,Michigan,College Stats
3,107,TAM,Kendell Beckwith,ILB,22,2017,0,0,0,5,5,16,0,0,0,0,0,0,0,0,0,0,0,60,,1,LSU,College Stats
4,108,GNB,Vince Biegel,LB,24,2019,0,0,1,5,1,38,0,0,0,0,0,0,0,0,0,0,0,41,1,2.5,Wisconsin,College Stats
4,109,MIN,Jaleel Johnson,DT,23,2020,0,0,1,11,11,53,0,0,0,0,0,0,0,0,0,0,0,43,,5.5,Iowa,College Stats
4,110,JAX,Dede Westbrook,WR,23,2020,0,0,1,13,13,40,0,1,0,0,0,14,125,0,160,1720,9,,,,Oklahoma,College Stats
4,111,SEA,Tedric Thompson,S,22,2020,0,0,2,8,8,37,0,0,0,0,0,0,0,0,0,0,0,63,3,,Colorado,College Stats
4,112,CHI,Eddie Jackson,S,23,2020,1,2,4,34,34,62,0,0,0,0,0,0,0,0,0,0,0,210,10,2,Alabama,College Stats
4,113,LAC,Rayshawn Jenkins,S,23,2020,0,0,2,13,13,61,0,0,0,0,0,0,0,0,0,0,0,115,5,1.5,Miami (FL),College Stats
4,114,WAS,Samaje Perine,RB,21,2020,0,0,1,7,5,44,0,0,0,0,0,251,952,4,36,253,1,5,,,Oklahoma,College Stats
4,115,ARI,Dorian Johnson,G,22,,0,0,0,,,,,,,,,,,,,,,,,,Pittsburgh,College Stats
4,116,CIN,Carl Lawson,OLB,22,2020,0,0,1,10,10,51,0,0,0,0,0,0,0,0,0,0,0,49,,20,Auburn,College Stats
4,117,LAR,Josh Reynolds,WR,22,2020,0,0,1,11,11,64,0,0,0,0,0,8,36,0,113,1450,9,4,,,Texas A&M,College Stats
4,118,PHI,Mack Hollins,WR,23,2020,0,0,0,4,3,48,0,0,0,0,0,0,0,0,42,527,2,6,,,North Carolina,College Stats
4,119,CHI,Tarik Cohen,RB,22,2020,1,1,2,21,21,51,2,3,22,2,0,264,1101,5,209,1575,9,1,,,North Carolina A&T,
4,120,MIN,Ben Gedeon,ILB,22,2019,0,0,1,15,15,39,0,0,0,0,0,0,0,0,0,0,0,60,,,Michigan,College Stats
