,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
3,67,DEN,Ronnie Hillman,RB,20,2016,0,0,1,17,15,56,0,0,0,0,0,494,1976,12,74,524,1,,,,San Diego St.,College Stats
3,68,HOU,DeVier Posey,WR,22,2014,0,0,0,2,2,26,0,0,0,0,0,1,-3,0,22,272,0,2,,,Ohio St.,College Stats
3,69,BUF,T.J. Graham,WR,23,2015,0,0,1,7,6,47,0,0,0,0,0,5,19,0,61,794,4,9,,,North Carolina St.,College Stats
3,70,JAX,Bryan Anger,P,23,2020,0,0,0,18,11,142,1,2,19,0,0,2,-5,0,0,0,0,13,,,California,College Stats
3,71,WAS,Josh LeRibeus,G,23,2018,0,0,1,10,6,50,0,0,0,0,0,0,0,0,0,0,0,,,,SMU,
3,72,MIA,Olivier Vernon,LB,21,2020,0,1,8,56,19,127,0,0,0,0,0,0,0,0,0,0,0,279,1,63.5,Miami (FL),College Stats
3,73,SDG,Brandon Taylor,DB,22,2012,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,4,,0.5,LSU,College Stats
3,74,KAN,Donald Stephenson,T,23,2017,0,0,1,17,11,80,0,0,0,0,0,0,0,0,0,0,0,,,,Oklahoma,College Stats
3,75,SEA,Russell Wilson,QB,23,2020,0,7,9,120,120,144,2820,4335,33946,267,81,803,4506,21,4,20,1,,,,Wisconsin,College Stats
3,76,HOU,Brandon Brooks,G,23,2019,0,3,7,45,13,112,0,0,0,0,0,0,0,0,0,0,0,1,,,Miami (OH),College Stats
3,77,NYJ,Demario Davis,LB,23,2020,1,0,8,70,30,144,0,0,0,0,0,0,0,0,0,0,0,620,2,26.5,Arkansas St.,College Stats
3,78,MIA,Michael Egnew,TE,22,2013,0,0,0,0,0,18,0,0,0,0,0,0,0,0,7,69,0,,,,Missouri,College Stats
3,79,CHI,Brandon Hardin,DB,22,2012,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,,Oregon St.,College Stats
3,80,ARI,Jamell Fleming,DB,23,2015,0,0,0,5,2,46,0,0,0,0,0,0,0,0,0,0,0,63,,,Oklahoma,College Stats
3,81,DAL,Tyrone Crawford,DE,22,2020,0,0,5,36,36,112,0,0,0,0,0,0,0,0,0,0,0,120,,25,Boise St.,College Stats
3,82,TEN,Mike Martin,DT,22,2015,0,0,0,6,6,46,0,0,0,0,0,0,0,0,0,0,0,42,,4,Michigan,College Stats
3,83,CIN,Mohamed Sanu,WR,23,2020,0,0,5,39,15,128,7,8,233,4,0,42,226,2,420,4694,27,1,,,Rutgers,College Stats
3,84,BAL,Bernard Pierce,RB,21,2015,0,0,0,10,10,52,0,0,0,0,0,359,1345,5,32,171,0,,,,Temple,College Stats
3,85,DET,Bill Bentley,DB,23,2015,0,0,0,3,3,20,0,0,0,0,0,0,0,0,0,0,0,34,,,,
3,86,PIT,Sean Spence,LB,22,2017,0,0,1,13,8,53,0,0,0,0,0,0,0,0,0,0,0,111,,6,Miami (FL),College Stats
3,87,CLE,John Hughes,DT,24,2017,0,0,0,9,8,66,0,0,0,0,0,0,0,0,0,0,0,61,,5.5,Cincinnati,College Stats
3,88,PHI,Nick Foles,QB,23,2020,0,1,3,31,24,67,1253,2010,13753,81,43,145,391,6,1,10,0,,,,Arizona,College Stats
3,89,NOR,Akiem Hicks,DE,22,2020,0,1,6,53,13,129,0,0,0,0,0,1,1,1,0,0,0,231,,37,,
3,90,NWE,Jake Bequette,DE,23,2014,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,,,,Arkansas,College Stats
